DTD,6.6088998E8
IBAB BB,Ion Beam Applications,0.0
BMAX SS,Byggmax Group AB,0.0
4044 JT,Central Glass Co Ltd,0.0
4203 JT,Sumitomo Bakelite Co Ltd,0.0
6877 JT,Obara Group Inc,0.0
4401 JP,ADEKA Corp,0.0
BETSB SS,Betsson AB,0.0
5444 JT,Yamato Kogyo Co Ltd,0.0
CIR IM,CIR-Compagnie Industriali Riunite SpA,0.0
DPH.LS,Dechra Pharmaceuticals PLC,0.0
HKSAV FH,HKScan OYJ,0.0
1924 JT,PanaHome Corp,0.0
NTG.LS,Northgate PLC,0.0
MYO.AX,MYOB Group Ltd,0.0
5703 JT,Nippon Light Metal Holdings Co Ltd,0.0
VATN SW,Valiant Holding AG,0.0
8088 JT,Iwatani Corp,0.0
9945 JT,Plenus Co Ltd,0.0
INH GY,Indus Holding AG,0.0
7593 JT,VT Holdings Co Ltd,0.0
HIQ SS,HIQ International AB,0.0
NOBI SS,Nobia AB,0.0
560 HK,Chu Kong Shipping Enterprises,0.0
EHE.AX,Estia Health Limited,0.0
PRY.AX,Primary Health Care Ltd,0.0
OKDBV FH,Oriola-KD OYJ,0.0
2270 JT,Megmilk Snow Brand Co Ltd,0.0
DLEA IT,Delek Automotive Systems Ltd,0.0
LOV.AX,Lovisa Holdings Ltd,0.0
6789 JT,Roland DG Corp,0.0
SIM DC,SimCorp A/S,0.0
5410 JP,Godo Steel Ltd,0.0
PAF.LS,Pan African Resources PLC,0.0
SYNT.LS,Synthomer PLC,0.0
8281 JT,Xebio Co Ltd,0.0
6390 JT,Kato Works Co Ltd,0.0
TOM NO,Tomra Systems ASA,0.0
8388 JT,Awa Bank Ltd,0.0
KLED SS,Kungsleden AB,0.0
RDW.LS,Redrow PLC,0.0
FSJ.LS,James Fisher & Sons PLC,0.0
IGD IM,Immobiliare Grande Distribuzione SIIQ SpA,0.0
8703 JT,kabu.com Securities Co Ltd,0.0
PAALB DC,Per Aarsleff Holding AS B,0.0
9832 JT,Autobacs Seven Co Ltd,0.0
ATK.LS,WS Atkins PLC,0.0
WPP.AX,WPP Aunz Ltd,0.0
6141 JT,DMG Mori Co Ltd,0.0
QQ..LS,QinetiQ Group PLC,0.0
ITABB SS,Itab Shop Concept AB,0.0
KMD NZ,Kathmandu Holdings Ltd,0.0
3197 JP,Skylark Co Ltd,0.0
7256 JP,Kasai Kogyo Co Ltd,0.0
9031 JT,Nishi-Nippon Railroad Co Ltd,0.0
STS IM,Ansaldo STS SpA,0.0
3156 JT,UKC Holdings Corp,0.0
JEN GY,Jenoptik AG,0.0
RTN.LS,Restaurant Group PLC,0.0
9025 JP,Konoike Transport Co Ltd,0.0
RFRG NA,Refresco Group NV,0.0
KIT SP,Keppel Infrastructure Trust,0.0
SFR.AX,Sandfire Resources NL,0.0
5803 JT,Fujikura Ltd,0.0
CE IM,Credito Emiliano SpA,0.0
BULTEN SS,Bulten AB,0.0
PROTCT NO,Protector Forsikring ASA,0.0
AMOT IT,Amot Investments Ltd,0.0
DDR.AX,Dicker Data Limited,0.0
ZIL2 GY,ElringKlinger AG,0.0
2815 JT,Ariake Japan Co Ltd,0.0
BAN IM,BasicNet SpA,0.0
AGR.LS,Assura PLC,0.0
RMR1V FH,Ramirent OYJ,0.0
TGR.AX,Tassal Group Ltd,0.0
CAB.AX,Cabcharge Australia Ltd,0.0
SKT NZ,SKY Network Television Ltd,0.0
3395 JT,St Marc Holdings Co Ltd,0.0
1833 JT,Okumura Corp,0.0
CWK.LS,Cranswick PLC,0.0
GXL.AX,Greencross Ltd,0.0
MING NO,SpareBank 1 SMN,0.0
7943 JT,Nichiha Corp,0.0
CLIN.LS,Clinigen Group Plc,0.0
SHI.LS,SIG PLC,0.0
APTT SP,Asian Pay Television Trust,0.0
MQ SS,MQ Holding AB,0.0
3002 JT,Gunze Ltd,0.0
KNOW SS,KNOW IT AB,0.0
GWA.AX,GWA Group Ltd,0.0
BKL.AX,Blackmores Ltd,0.0
WAC GY,Wacker Neuson SE,0.0
4008 JT,Sumitomo Seika Chemicals Co Ltd,0.0
8600 JT,TOMONY Holdings Inc,0.0
SGM.AX,Sims Metal Management Ltd,0.0
7278 JT,Exedy Corp,0.0
7840 JT,France Bed Holdings Co Ltd,0.0
1883 HK,CITIC Telecom International Holdings Ltd,0.0
SAL IM,Salini Impregilo SpA,0.0
9869 JT,Kato Sangyo Co Ltd,0.0
DEB.LS,Debenhams PLC,0.0
7994 JT,Okamura Corp,0.0
6103 JT,OKUMA Corp,0.0
6383 JT,Daifuku Co Ltd,0.0
9990 JP,Sac's Bar Holdings Inc,0.0
RCR.AX,RCR Tomlinson Ltd,0.0
SAY SM,Saeta Yield S.A.,0.0
6624 JP,Tabuchi Electric Co Ltd,0.0
POLR.LS,Polar Capital Holdings PLC,0.0
BYG.LS,Big Yellow Group PLC,0.0
IMF.AX,IMF Bentham Ltd,0.0
CTY1S FH,Citycon OYJ,0.0
6474 JT,Nachi-Fujikoshi Corp,0.0
7231 JT,Topy Industries Ltd,0.0
2730 JT,EDION Corp,0.0
HARL IT,Harel Insurance Investments & Financial Services Ltd,0.0
AVGL IT,Avgol Industries 1953 Ltd,0.0
ZPLA.LS,Zoopla Property Group PLC,0.0
MTRX IT,Matrix IT Ltd,0.0
INWI SS,Inwido AB,0.0
NOEJ GY,Norma Group SE,0.0
INRM IT,Inrom Construction Industries,0.0
HLCL.LS,Helical Bar PLC,0.0
8425 JP,IBJ Leasing Co Ltd,0.0
ESUR.LS,esure Group PLC,0.0
RROS SS,Rottneros AB,0.0
RHT SP,RHT Health Trust,0.0
DCG.LS,Dairy Crest Group PLC,0.0
REZT SS,Rezidor Hotel Group AB,0.0
OGN ID,Origin Enterprises PLC,0.0
AKER NO,Aker ASA,0.0
HEMF SS,Hemfosa Fastigheter AB,0.0
9699 JT,Nishio Rent All Co Ltd,0.0
ELAL IT,El Al Israel Airlines,0.0
VED.LS,Vedanta Resources PLC,0.0
2327 JT,NS Solutions Corp,0.0
SPI.LS,Spire Healthcare Group PLC,0.0
7581 JT,Saizeriya Co Ltd,0.0
NVG PL,Navigator Co SA,0.0
ULE.LS,Ultra Electronics Holdings PLC,0.0
906 HK,CPMC Holdings Ltd,0.0
YTY1V FH,YIT OYJ,0.0
UQA AV,UNIQA Insurance Group AG,0.0
CSN.LS,Chesnara PLC,0.0
6278 JT,Union Tool Co,0.0
MATAS DC,Matas A/S,0.0
511 HK,Television Broadcasts Ltd,0.0
9744 JT,Meitec Corp,0.0
8395 JT,Bank of Saga Ltd,0.0
8130 JT,Sangetsu Co Ltd,0.0
SRS IM,Saras SpA,0.0
3101 JT,Toyobo Co Ltd,0.0
MTR.AX,Mantra Group Ltd,0.0
3105 JT,Nisshinbo Holdings Inc,0.0
GNE NZ,Genesis Energy Ltd,0.0
PFV GY,Pfeiffer Vacuum Technology AG,0.0
218 HK,Shenwan Hongyuan HK Ltd,0.0
8050 JT,Seiko Holdings Corp,0.0
SVW.AX,Seven Group Holdings Ltd,0.0
1721 JT,COMSYS Holdings Corp,0.0
POSH SP,Pacc Offshore Services Holding,0.0
9936 JT,Ohsho Food Service Corp,0.0
EURN BB,Euronav NV,0.0
1969 JT,Takasago Thermal Engineering Co Ltd,0.0
6751 JP,Japan Radio Co Ltd,0.0
3591 JT,Wacoal Holdings Corp,0.0
DLEKG IT,Delek Group Ltd,0.0
7248 JT,Calsonic Kansei Corp,0.0
7981 JT,Takara Standard Co Ltd,0.0
8140 JT,Ryosan Co Ltd,0.0
DOW.AX,Downer EDI Ltd,0.0
NST.AX,Northern Star Resources Ltd,0.0
APO.AX,APN Outdoor Group Limited,0.0
DFS.LS,DFS Furniture Plc,0.0
AUSS NO,Austevoll Seafood ASA,0.0
6436 JT,Amano Corp,0.0
3038 JP,Kobe Bussan Co Ltd,0.0
8613 JT,Marusan Securities Co Ltd,0.0
VMS SP,Venture Corp Ltd,0.0
BRG NO,Borregaard ASA,0.0
6444 JT,Sanden Holdings Corp,0.0
RNK.LS,Rank Group PLC,0.0
NEO FP,Neopost SA,0.0
IMPN SW,Implenia AG,0.0
UTW.LS,Utilitywise PLC,0.0
9422 JT,CONEXIO Corp,0.0
GMA.AX,Genworth Mortgage Insurance Australia Ltd,0.0
CTD.AX,Corporate Travel Management Lt,0.0
CEM IM,Cementir Holding SpA,0.0
7451 JT,Mitsubishi Shokuhin Co Ltd,0.0
SYDB DC,Sydbank A/S,0.0
6856 JT,Horiba Ltd,0.0
EVO SS,Evolution Gaming Group AB,0.0
COOR SS,Coor Service Management Holding AB,0.0
PAGE.LS,PageGroup PLC,0.0
RWS.LS,RWS Holdings PLC,0.0
6807 JT,Japan Aviation Electronics Industry Ltd,0.0
FSF NZ,Fonterra Cooperative Group Ltd,0.0
CMBN SW,Cembra Money Bank AG,0.0
6364 JP,Hokuetsu Industries Co Ltd,0.0
GWI1 GY,Gerry Weber International AG,0.0
DRX.LS,Drax Group PLC,0.0
AIR NZ,Air New Zealand Ltd,0.0
4985 JT,Earth Chemical Co Ltd,0.0
TTG.LS,TT Electronics plc,0.0
BVB GY,Borussia Dortmund GmbH & Co KGaA,0.0
MMT FP,Metropole Television SA,0.0
FTIN IT,First International Bank Of Israel Ltd,0.0
PRT IM,Esprinet SpA,0.0
1883 JT,Maeda Road Construction Co Ltd,0.0
IFL.AX,IOOF Holdings Ltd,0.0
ABC.LS,Abcam PLC,0.0
MVF.AX,Monash IVF Group Ltd,0.0
BDT GY,Bertrandt AG,0.0
ARL GY,Aareal Bank AG,0.0
SLARL IT,Sella Capital Real Estate Ltd,0.0
TFC.AX,TFS Corp Ltd,0.0
8624 JT,Ichiyoshi Securities Co Ltd,0.0
123 HK,Yuexiu Property Co Ltd,0.0
SKBN IT,Shikun & Binui Ltd,0.0
6932 JT,Endo Lighting Corp,0.0
MYS.AX,MyState Ltd,0.0
GTT FP,Gaztransport Et Technigaz SA,0.0
HNZ NZ,Heartland New Zealand Ltd,0.0
7251 JT,Keihin Corp,0.0
6999 JT,Koa Corp,0.0
DRI GY,Drillisch AG,0.0
4634 JT,Toyo Ink SC Holdings Co Ltd,0.0
EPWN.LS,Epwin Group Plc,0.0
1828 HK,Dah Chong Hong Holdings Ltd,0.0
ZEL NZ,Z Energy Ltd,0.0
7984 JT,Kokuyo Co Ltd,0.0
5631 JT,Japan Steel Works Ltd,0.0
4403 JT,NOF Corp,0.0
1668 HK,China South City Holdings Ltd,0.0
ATEA NO,Atea ASA,0.0
DBG FP,Derichebourg SA,0.0
6250 JT,YAMABIKO Corp,0.0
SMM SP,Sembcorp Marine Ltd,0.0
6756 JT,Hitachi Kokusai Electric Inc,0.0
RMLI IT,Rami Levy Chain Stores Hashikma Marketing 2006 Ltd,0.0
SSPG.LS,SSP Group Plc,0.0
IMA IM,Industria Macchine Automatiche SpA,0.0
8136 JT,Sanrio Co Ltd,0.0
EPW.AX,ERM Power Ltd,0.0
7224 JT,Shinmaywa Industries Ltd,0.0
TRE SM,Tecnicas Reunidas SA,0.0
SEM PL,Semapa-Sociedade de Investimen,0.0
SUY1V FH,Suominen OYJ,0.0
5851 JT,Ryobi Ltd,0.0
RAL FP,Rallye SA,0.0
COP GY,CompuGroup Medical AG,0.0
7148 JP,Financial Products Group Co Ltd,0.0
CWT SP,CWT Ltd,0.0
MRO.LS,Melrose Industries PLC,0.0
5991 JT,NHK Spring Co Ltd,0.0
UAI.LS,U and I Group Plc,0.0
ERM.LS,Euromoney Institutional Investor PLC,0.0
CSR.AX,CSR Ltd,0.0
LAT1V FH,Lassila & Tikanoja OYJ,0.0
5933 JP,Alinco Inc,0.0
VM..LS,Virgin Money Holdings UK PLC,0.0
GAM SW,GAM Holding AG,0.0
NUF.AX,Nufarm Ltd/Australia,0.0
9468 JT,Kadokawa Dwango Corp,0.0
UTG.LS,UNITE Group PLC,0.0
GZT IT,Gazit-Globe Ltd,0.0
8276 JT,Heiwado Co Ltd,0.0
PPC.AX,Peet Ltd,0.0
4205 JT,Zeon Corp,0.0
FLT.AX,Flight Centre Travel Group Ltd,0.0
MMS.AX,McMillan Shakespeare Ltd,0.0
IFAR SP,Indofood Agri Resources Ltd,0.0
NVA.LS,Novae Group PLC,0.0
ECM.LS,Electrocomponents PLC,0.0
8075 JT,Shinsho Corp,0.0
1979 JT,Taikisha Ltd,0.0
DLAR.LS,De La Rue PLC,0.0
TME NZ,Trade Me Group Ltd,0.0
4928 JT,Noevir Holdings Co Ltd,0.0
VRT.AX,Virtus Health Ltd,0.0
3433 JT,Tocalo Co Ltd,0.0
WDP BB,Warehouses De Pauw CVA,0.0
YLLG SP,Yanlord Land Group Ltd,0.0
7294 JT,Yorozu Corp,0.0
6277 JT,Hosokawa Micron Corp,0.0
PPT.AX,Perpetual Ltd,0.0
DPLM.LS,Diploma PLC,0.0
6287 JT,Sato Holdings Corp,0.0
1860 JT,Toda Corp,0.0
KCR FH,Konecranes Oyj,0.0
CLASB SS,Clas Ohlson AB,0.0
7599 JT,Gulliver International Co Ltd,0.0
5563 JT,Nippon Denko Co Ltd,0.0
MTGB SS,Modern Times Group MTG AB,0.0
5706 JT,Mitsui Mining & Smelting Co Ltd,0.0
OXIG.LS,Oxford Instruments PLC,0.0
4206 JT,Aica Kogyo Co Ltd,0.0
EBO NZ,Ebos Group Ltd,0.0
SDF.AX,Steadfast Group Ltd,0.0
GNC.AX,GrainCorp Ltd,0.0
PHTM.LS,Photo-Me International PLC,0.0
PEABB SS,Peab AB,0.0
FET.AX,Folkestone Education Trust,0.0
GLE.LS,MJ Gleeson PLC,0.0
7966 JT,Lintec Corp,0.0
ELM.LS,Elementis PLC,0.0
4626 JP,Taiyo Holdings Co Ltd,0.0
CHIP SP,Chip Eng Seng Corp Ltd,0.0
6742 JT,Kyosan Electric Manufacturing Co Ltd,0.0
ANIM IM,Anima Holding SpA,0.0
TLG GR,TLG Immobilien AG,0.0
BCA.LS,BCA Marketplace PLC,0.0
8860 JT,Fuji Corp Ltd,0.0
BTT.AX,BT Investment Management Ltd,0.0
QUB.AX,Qube Holdings Ltd,0.0
EXO.LS,Exova Group PLC,0.0
COST.LS,Costain Group PLC,0.0
GFRD.LS,Galliford Try PLC,0.0
BINCK NA,BinckBank NV,0.0
LOOK.LS,Lookers PLC,0.0
8129 JT,Toho Holdings Co Ltd,0.0
CFEB BB,Cie d'Entreprises CFE,0.0
3107 JT,Daiwabo Holdings Co Ltd,0.0
5857 JT,Asahi Holdings Inc,0.0
GNS.LS,Genus PLC,0.0
TOD IM,Tod's SpA,0.0
AST IM,Astaldi SpA,0.0
SW1 GR,SHW AG,0.0
8324 JT,Daishi Bank Ltd,0.0
OCY NO,Ocean Yield ASA,0.0
ASC NO,ABG Sundal Collier Holding ASA,0.0
DVO.LS,Devro PLC,0.0
5632 JT,Mitsubishi Steel Manufacturing Co Ltd,0.0
TIE1V FH,Tieto OYJ,0.0
DTG.LS,Dart Group PLC,0.0
STCK.LS,Stock Spirits Group PLC,0.0
9449 JT,GMO internet Inc,0.0
M1 SP,M1 Ltd/Singapore,0.0
GCC ID,C&C Group PLC,0.0
6871 JP,Micronics Japan Co Ltd,0.0
WIE AV,Wienerberger AG,0.0
HOLMB SS,Holmen AB,0.0
5232 JT,Sumitomo Osaka Cement Co Ltd,0.0
DCG.AX,Decmil Group Ltd,0.0
FOXT.LS,Foxtons Group PLC,0.0
SPNO DC,Spar Nord Bank A/S,0.0
IVC.AX,InvoCare Ltd,0.0
8346 JT,Toho Bank Ltd,0.0
E2V.LS,e2v technologies PLC,0.0
AR4 GY,Aurelius AG,0.0
ALMB DC,Alm Brand A/S,0.0
9303 JT,Sumitomo Warehouse Co Ltd,0.0
8056 JT,Nihon Unisys Ltd,0.0
ORA.AX,Orora Ltd,0.0
3865 JT,Hokuetsu Kishu Paper Co Ltd,0.0
SML SP,Sinarmas Land Ltd,0.0
TYMN.LS,Tyman PLC,0.0
8473 JT,SBI Holdings Inc/Japan,0.0
RENE PL,REN - Redes Energeticas Nacion,0.0
7968 JP,TASAKI & Co Ltd,0.0
CKN.LS,Clarkson PLC,0.0
BESI NA,BE Semiconductor Industries NV,0.0
NOLAB SS,Nolato AB,0.0
1972 JP,Sanko Metal Ind Co,0.0
SHV.AX,Select Harvests Ltd,0.0
SKC NZ,SKYCITY Entertainment Group Ltd,0.0
4544 JT,Miraca Holdings Inc,0.0
TFI IM,Trevi Finanziaria Industriale SpA,0.0
5482 JT,Aichi Steel Corp,0.0
KIE.LS,Kier Group PLC,0.0
JHD.LS,James Halstead PLC,0.0
RSTON SP,Riverstone Holdings Ltd,0.0
9474 JT,Zenrin Co Ltd,0.0
JM SS,JM AB,0.0
3941 JT,Rengo Co Ltd,0.0
SMP.LS,ST Modwen Properties PLC,0.0
9697 JT,Capcom Co Ltd,0.0
RATOB SS,Ratos AB,0.0
TIK1V FH,Tikkurila Oyj,0.0
GEO IM,Geox SpA,0.0
8154 JT,Kaga Electronics Co Ltd,0.0
VSVS.LS,Vesuvius PLC,0.0
MARS.LS,Marston's PLC,0.0
SAA.LS,M&C Saatchi PLC,0.0
7732 JT,Topcon Corp,0.0
NDA GY,Aurubis AG,0.0
8382 JT,Chugoku Bank Ltd,0.0
HNT.LS,Huntsworth PLC,0.0
CWP.AX,Cedar Woods Properties Ltd,0.0
FLOW NA,Flow Traders,0.0
FLS DC,FLSmidth & Co A/S,0.0
1956 JT,NDS Co Ltd,0.0
7917 JT,Fujimori Kogyo Co Ltd,0.0
TLPR.LS,Tullett Prebon PLC,0.0
5714 JT,Dowa Holdings Co Ltd,0.0
SIQ.AX,Smartgroup Corporation Ltd,0.0
RWAY IM,RAI Way SpA,0.0
IRE IM,Iren SpA,0.0
CAO SP,China Aviation Oil Singapore Corp Ltd,0.0
TOX.AX,Tox Free Solutions Ltd,0.0
APPS SM,Applus Services SA,0.0
AMS SW,ams AG,0.0
7839 JP,Shoei Co Ltd,0.0
8084 JT,Ryoden Trading Co Ltd,0.0
8325 JT,Hokuetsu Bank Ltd,0.0
ENTRA NO,Entra ASA,0.0
7003 JT,Mitsui Engineering & Shipbuilding Co Ltd,0.0
6508 JT,Meidensha Corp,0.0
9536 JT,Saibu Gas Co Ltd,0.0
NHF.AX,nib holdings Ltd/Australia,0.0
8343 JT,Akita Bank Ltd,0.0
CSV.AX,CSG Ltd,0.0
SGF.AX,SG Fleet Group Ltd,0.0
ALTR PL,Altri SGPS SA,0.0
8368 JT,Hyakugo Bank Ltd,0.0
4246 JP,Daikyonishikawa Corp,0.0
6875 JT,Megachips Corp,0.0
JBH.AX,JB Hi-Fi Ltd,0.0
EXM BB,Exmar NV,0.0
6641 JP,Nissin Electric Co Ltd,0.0
MLP GY,MLP AG,0.0
NEC.AX,Nine Entertainment Co Holdings,0.0
BMY.LS,Bloomsbury Publishing PLC,0.0
2767 JT,Fields Corp,0.0
PETS.LS,Pets at Home Group Plc,0.0
VEI NO,Veidekke ASA,0.0
NEM GR,Nemetschek AG,0.0
DEZ GY,Deutz AG,0.0
JCQ FP,Jacquet Metal Service,0.0
MLSR IT,Melisron Ltd,0.0
4921 JT,Fancl Corp,0.0
SIA.LS,Soco International PLC,0.0
6516 JT,Sanyo Denki Co Ltd,0.0
CLLN.LS,Carillion PLC,0.0
ZV IM,Zignago Vetro SpA,0.0
NCC.LS,NCC Group PLC,0.0
4569 JT,KYORIN Holdings Inc,0.0
BCOM IT,B Communications Ltd,0.0
4839 JP,Wowow Inc,0.0
LSL.LS,LSL Property Services PLC,0.0
HOBEE SP,Ho Bee Land Ltd,0.0
KEMIRA FH,Kemira Oyj,0.0
4538 JT,Fuso Pharmaceutical Industries Ltd,0.0
3774 JT,Internet Initiative Japan Inc,0.0
6317 JP,Kitagawa Iron Works Co Ltd,0.0
COFA FP,Coface,0.0
200 HK,Melco International Development Ltd,0.0
SONC PL,Sonae Capital,0.0
8850 JT,Starts Corp Inc,0.0
BOY.LS,Bodycote PLC,0.0
4471 JT,Sanyo Chemical Industries Ltd,0.0
TPS1V FH,Technopolis OYJ,0.0
6371 JT,Tsubakimoto Chain Co,0.0
METSB FH,Metsa Board OYJ,0.0
ASCN SW,Ascom Holding AG,0.0
LD IM,La Doria SpA,0.0
SKS.LS,Shanks Group PLC,0.0
MND.AX,Monadelphous Group Ltd,0.0
SPT.LS,Spirent Communications PLC,0.0
ISD.AX,iSentia Group Ltd,0.0
ELG GY,Elmos Semiconductor AG,0.0
VCT.LS,Victrex PLC,0.0
PAC SM,Papeles y Cartones de Europa SA,0.0
MGC.AX,MG Unit Trust,0.0
1881 JT,Nippo Corp,0.0
