IWN,9.6099994E9
JRVR,JAMES RIVER GROUP HOLDINGS LTD,0.06
CBF,Capital Bank Financial Corp,0.06
NNBR,NN Inc,0.06
INTL,INTL. FCStone Inc,0.06
CENX,Century Aluminum Co,0.06
NR,Newpark Resources Inc,0.06
CAVM,Cavium Inc,0.06
SAH,Sonic Automotive Inc,0.06
MCS,Marcus Corp,0.06
SXC,SunCoke Energy Inc,0.06
SCHN,Schnitzer Steel Industries Inc,0.06
FLIC,First of Long Island Corp,0.06
FBC,Flagstar Bancorp Inc,0.06
TOWR,Tower International Inc,0.06
NYLDA,NRG YIELD INC CLASS A,0.06
CWT,California Water Service Group,0.06
HMST,HomeStreet Inc,0.06
AMBC,Ambac Financial Group Inc,0.06
KCG,KCG Holdings Inc,0.06
MNTA,Momenta Pharmaceuticals Inc,0.06
ATSG,Air Transport Services Group Inc,0.06
UVSP,Univest Corp of Pennsylvania,0.06
PMC,PharMerica Corp,0.06
PHH,PHH Corp,0.06
NRE,NORTHSTAR REALTY EUROPE CORP,0.06
GABC,German American Bancorp Inc,0.06
MTRN,Materion Corp,0.06
FMSA,Fairmount Santrol Holdings Inc,0.06
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,0.06
FFG,FBL Financial Group Inc,0.06
MOH,Molina Healthcare Inc,0.06
BMTC,Bryn Mawr Bank Corp,0.06
ECPG,Encore Capital Group Inc,0.06
DCOM,Dime Community Bancshares Inc,0.06
GTY,Getty Realty Corp,0.06
RTEC,Rudolph Technologies Inc,0.06
STNG,Scorpio Tankers Inc,0.06
GSM,Globe Specialty Metals Inc,0.06
THR,Thermon Group Holdings Inc,0.06
PFBC,Preferred Bank/Los Angeles CA,0.06
GLRE,Greenlight Capital Re Ltd,0.06
ROIC,Retail Opportunity Investments Corp,0.06
CAC,Camden National Corp,0.06
ELY,Callaway Golf Co,0.06
ORIT,Oritani Financial Corp,0.06
AJRD,Aerojet Rocketdyne Holdings Inc,0.06
BDGE,Bridge Bancorp Inc,0.06
SUP,Superior Industries International Inc,0.06
KELYA,Kelly Services Inc,0.06
LADR,Ladder Capital Corp,0.06
ASTE,Astec Industries Inc,0.06
NX,Quanex Building Products Corp,0.06
RPXC,RPX Corp,0.06
DEA,Easterly Government Properties Inc,0.06
LCI,Lannett Co Inc,0.06
LRN,K12 Inc,0.06
NTGR,NETGEAR Inc,0.05
UTEK,Ultratech Inc,0.05
XPER,XPERI CORP,0.05
NEWM,New Media Investment Group Inc,0.05
NMIH,NMI Holdings Inc,0.05
SGBK,Stonegate Bank,0.05
AMAG,AMAG Pharmaceuticals Inc,0.05
FBNC,First Bancorp/Southern Pines NC,0.05
COBZ,CoBiz Financial Inc,0.05
VRTS,Virtus Investment Partners Inc,0.05
FPO,First Potomac Realty Trust,0.05
CUNB,CU Bancorp,0.05
SDRL,Seadrill Ltd,0.05
WMK,Weis Markets Inc,0.05
ALG,Alamo Group Inc,0.05
GSBC,Great Southern Bancorp Inc,0.05
ESND,Essendant Inc,0.05
AGM,Federal Agricultural Mortgage Corp,0.05
RRGB,Red Robin Gourmet Burgers Inc,0.05
CECO,Career Education Corp,0.05
MRTN,Marten Transport Ltd,0.05
BKS,Barnes & Noble Inc,0.05
MOD,Modine Manufacturing Co,0.05
IRT,INDEPENDENCE REALTY TRUST REIT INC,0.05
AWR,American States Water Co,0.05
VSAR,Versartis Inc,0.05
KAI,Kadant Inc,0.05
EGL,Engility Holdings Inc,0.05
ANH,Anworth Mortgage Asset Corp,0.05
CSWI,CSW INDUSTRIALS INC,0.05
MBWM,Mercantile Bank Corp,0.05
WAIR,Wesco Aircraft Holdings Inc,0.05
CUBI,Customers Bancorp Inc,0.05
CZR,Caesars Entertainment Corp,0.05
PEBO,Peoples Bancorp Inc/OH,0.05
WIN,WINDSTREAM HOLDINGS INC,0.05
QCRH,QCR Holdings Inc,0.05
OFG,OFG Bancorp,0.05
NGVT,INGEVITY CORP,0.05
DXPE,DXP Enterprises Inc,0.05
PCBK,Pacific Continental Corp,0.05
HBNC,Horizon Bancorp/IN,0.05
SSYS,Stratasys Ltd,0.05
GVA,Granite Construction Inc,0.05
TSC,TriState Capital Holdings Inc,0.05
NGHC,National General Holdings Corp,0.05
TLRD,TAILORED BRANDS INC,0.05
OCN,Ocwen Financial Corp,0.05
BCOR,Blucora Inc,0.05
MITT,AG Mortgage Investment Trust Inc,0.05
AHT,Ashford Hospitality Trust Inc,0.05
CRC,California Resources Corp,0.05
FRED,Fred's Inc,0.05
VRTV,Veritiv Corp,0.05
ACTA,Actua Corp,0.05
RECN,Resources Connection Inc,0.05
WLH,William Lyon Homes,0.05
CMCO,Columbus McKinnon Corp/NY,0.05
MGI,MoneyGram International Inc,0.05
CWST,Casella Waste Systems Inc,0.05
LL,Lumber Liquidators Holdings Inc,0.04
MHO,M/I Homes Inc,0.04
RCII,Rent-A-Center Inc/TX,0.04
OKSB,Southwest Bancorp Inc,0.04
FINL,Finish Line Inc,0.04
RXN,Rexnord Corp,0.04
CATO,Cato Corp,0.04
XCRA,Xcerra Corp,0.04
STRA,Strayer Education Inc,0.04
RATE,Bankrate Inc,0.04
FRO,Frontline Ltd/Bermuda,0.04
GOOD,Gladstone Commercial Corp,0.04
SCNB,Suffolk Bancorp,0.04
AVAV,Aerovironment Inc,0.04
UCTT,Ultra Clean Holdings Inc,0.04
PIR,Pier 1 Imports Inc,0.04
TWI,Titan International Inc,0.04
PGC,Peapack Gladstone Financial Corp,0.04
ASNA,Ascena Retail Group Inc,0.04
WSBF,Waterstone Financial Inc,0.04
BRS,Bristow Group Inc,0.04
SALT,Scorpio Bulkers Inc,0.04
DHT,DHT Holdings Inc,0.04
MGLN,Magellan Health Inc,0.04
HSII,Heidrick & Struggles International Inc,0.04
LION,Fidelity Southern Corp,0.04
THFF,First Financial Corp/IN,0.04
ANGO,AngioDynamics Inc,0.04
HAYN,Haynes International Inc,0.04
COHU,Cohu Inc,0.04
FISI,Financial Institutions Inc,0.04
ITG,Investment Technology Group Inc,0.04
ENTA,Enanta Pharmaceuticals Inc,0.04
ESPR,Esperion Therapeutics Inc,0.04
ACLS,Axcelis Technologies Inc,0.04
TG,Tredegar Corp,0.04
REX,REX American Resources Corp,0.04
GK,G&K Services Inc,0.04
ROCK,Gibraltar Industries Inc,0.04
RGS,Regis Corp,0.04
FDEF,First Defiance Financial Corp,0.04
FARO,FARO Technologies Inc,0.04
TK,Teekay Corp,0.04
CTWS,Connecticut Water Service Inc,0.04
KEYW,KEYW Holding Corp,0.04
INFN,Infinera Corp,0.04
KE,Kimball Electronics Inc,0.04
KTOS,Kratos Defense & Security Solutions Inc,0.04
REI,Ring Energy Inc,0.04
BHB,Bar Harbor Bankshares,0.04
GLBL,TERRAFORM GLOBAL INC CLASS A,0.04
BRC,Brady Corp,0.04
HLIT,Harmonic Inc,0.04
VSI,Vitamin Shoppe Inc,0.04
BW,Babcock & Wilcox Enterprises Inc,0.04
STFC,State Auto Financial Corp,0.04
HVT,Haverty Furniture Cos Inc,0.04
AVD,American Vanguard Corp,0.04
GTS,Triple-S Management Corp,0.04
CDR,Cedar Realty Trust Inc,0.04
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.04
VSAT,ViaSat Inc,0.04
UFI,Unifi Inc,0.04
IBCP,Independent Bank Corp/MI,0.04
ABCB,Ameris Bancorp,0.04
SNC,State National Cos Inc,0.04
EBF,Ennis Inc,0.04
RLI,RLI Corp,0.04
LMNX,Luminex Corp,0.04
GBNK,Guaranty Bancorp,0.04
RGNX,REGENXBIO INC,0.04
MTRX,Matrix Service Co,0.04
DIN,DineEquity Inc,0.04
EZPW,Ezcorp Inc,0.04
CTT,CatchMark Timber Trust Inc,0.04
NXRT,NEXPOINT RESIDENTIAL TRUST INC TRU,0.04
BMRC,Bank of Marin Bancorp,0.04
KWR,Quaker Chemical Corp,0.04
OME,Omega Protein Corp,0.04
ATRA,Atara Biotherapeutics Inc,0.04
PSTB,Park Sterling Corp,0.04
FRBK,Republic First Bancorp Inc,0.04
UAM,Universal American Corp/NY,0.04
JBSS,John B Sanfilippo & Son Inc,0.04
AFI,ARMSTRONG FLOORING INC,0.04
VVI,Viad Corp,0.04
AFAM,Almost Family Inc,0.04
CORR,CorEnergy Infrastructure Trust Inc,0.04
SMP,Standard Motor Products Inc,0.04
WMC,Western Asset Mortgage Capital Corp,0.04
NPK,National Presto Industries Inc,0.04
ALJ,Alon USA Energy Inc,0.04
FCBC,First Community Bancshares Inc/VA,0.04
UCFC,United Community Financial Corp/OH,0.04
BHBK,Blue Hills Bancorp Inc,0.04
EGBN,Eagle Bancorp Inc,0.04
TBK,Triumph Bancorp Inc,0.04
RAVN,Raven Industries Inc,0.04
FOR,Forestar Group Inc,0.04
BKMU,Bank Mutual Corp,0.04
HTBI,HomeTrust Bancshares Inc,0.04
BZH,Beazer Homes USA Inc,0.04
SN,Sanchez Energy Corp,0.04
AROW,Arrow Financial Corp,0.04
DFRG,Del Frisco's Restaurant Group Inc,0.04
HMHC,Houghton Mifflin Harcourt Co,0.04
HEOP,Heritage Oaks Bancorp,0.03
CNXN,PC Connection Inc,0.03
OB,OneBeacon Insurance Group Ltd,0.03
SALE,RetailMeNot Inc,0.03
EROS,Eros International PLC,0.03
HOFT,Hooker Furniture Corp,0.03
FORM,FormFactor Inc,0.03
MDCO,Medicines Co,0.03
DX,Dynex Capital Inc,0.03
OSBC,OLD SECOND BANCORP INC.,0.03
FSB,Franklin Financial Network Inc,0.03
ZUMZ,Zumiez Inc,0.03
RUN,Sunrun Inc,0.03
AMSF,AMERISAFE Inc,0.03
TRC,Tejon Ranch Co,0.03
CVI,CVR Energy Inc,0.03
SHOR,ShoreTel Inc,0.03
BSRR,Sierra Bancorp,0.03
PKOH,Park-Ohio Holdings Corp,0.03
OLP,One Liberty Properties Inc,0.03
BANC,Banc of California Inc,0.03
FTD,FTD Cos Inc,0.03
WRLD,World Acceptance Corp,0.03
ARII,American Railcar Industries Inc,0.03
LMOS,Lumos Networks Corp,0.03
CECE,CECO Environmental Corp,0.03
MOFG,MidWestOne Financial Group Inc,0.03
GBLI,Global Indemnity PLC,0.03
CTRL,Control4 Corp,0.03
PARR,PAR PACIFIC HOLDINGS INC,0.03
OTIC,Otonomy Inc,0.03
FLXS,Flexsteel Industries Inc,0.03
NCOM,National Commerce Corp,0.03
YRCW,YRC Worldwide Inc,0.03
INSW,INTERNATIONAL SEAWAYS INC,0.03
DCO,Ducommun Inc,0.03
APTS,Preferred Apartment Communities Inc,0.03
AMNB,American National Bankshares Inc,0.03
AT,Atlantic Power Corp,0.03
EBTC,Enterprise Bancorp Inc/MA,0.03
NSM,Nationstar Mortgage Holdings Inc,0.03
MCRI,Monarch Casino & Resort Inc,0.03
CENT,Central Garden & Pet Co,0.03
ENVA,Enova International Inc,0.03
HRTG,Heritage Insurance Holdings Inc,0.03
BNED,Barnes & Noble Education Inc,0.03
ETM,Entercom Communications Corp,0.03
HCI,HCI Group Inc,0.03
CDE,Coeur Mining Inc,0.03
HY,Hyster-Yale Materials Handling Inc,0.03
HWKN,Hawkins Inc,0.03
TVPT,Travelport Worldwide Ltd,0.03
IVC,Invacare Corp,0.03
NTB,BANK OF NT BUTTERFIELD & SON LTD,0.03
BH,Biglari Holdings Inc,0.03
GCP,GCP APPLIED TECHNOLOGIES INC,0.03
ADTN,ADTRAN Inc,0.03
ARDX,Ardelyx Inc,0.03
CHGG,Chegg Inc,0.03
PDLI,PDL BioPharma Inc,0.03
ABTX,ALLEGIANCE BANCSHARES INC,0.03
CARO,Carolina Financial Corp,0.03
NCBS,NICOLET BANKSHARES INC,0.03
BV,Bazaarvoice Inc,0.03
PKE,Park Electrochemical Corp,0.03
PTCT,PTC Therapeutics Inc,0.03
WSR,Whitestone REIT,0.03
CNSL,Consolidated Communications Holdings Inc,0.03
EXAR,Exar Corp,0.03
GEF.B,Greif Inc,0.03
GTN,Gray Television Inc,0.03
TGH,Textainer Group Holdings Ltd,0.03
SPOK,Spok Holdings Inc,0.03
COWN,Cowen Group Inc,0.03
SNOW,Intrawest Resorts Holdings Inc,0.03
REGI,Renewable Energy Group Inc,0.03
BKE,Buckle Inc,0.03
EVH,Evolent Health Inc,0.03
MINI,Mobile Mini Inc,0.03
MOV,Movado Group Inc,0.03
ACRE,Ares Commercial Real Estate Corp,0.03
KTWO,K2M Group Holdings Inc,0.03
WTBA,West Bancorporation Inc,0.03
TESO,Tesco Corp,0.03
WINS,WINS FINANCE HOLDINGS INC,0.03
CCS,Century Communities Inc,0.03
SPPI,Spectrum Pharmaceuticals Inc,0.03
DAKT,Daktronics Inc,0.03
CIA,Citizens Inc/TX,0.03
GNBC,Green Bancorp Inc,0.03
KRO,Kronos Worldwide Inc,0.03
SCVL,Shoe Carnival Inc,0.03
CSBK,Clifton Bancorp Inc,0.03
FMNB,Farmers National Banc Corp,0.03
IPAR,Inter Parfums Inc,0.03
PUB,People's Utah Bancorp,0.03
IXYS,IXYS Corp,0.03
FGL,Fidelity & Guaranty Life,0.03
QUAD,Quad/Graphics Inc,0.03
AOSL,Alpha & Omega Semiconductor Ltd,0.03
FF,FutureFuel Corp,0.03
RBCAA,Republic Bancorp Inc/KY,0.03
CMTL,Comtech Telecommunications Corp,0.03
APEI,American Public Education Inc,0.03
VSEC,VSE Corp,0.03
CCNE,CNB Financial Corp/PA,0.03
MDCA,MDC Partners Inc,0.03
CLDX,Celldex Therapeutics Inc,0.03
PES,Pioneer Energy Services Corp,0.03
DGII,Digi International Inc,0.03
HTBK,Heritage Commerce Corp,0.03
NGS,Natural Gas Services Group Inc,0.03
ICON,Iconix Brand Group Inc,0.03
CALX,Calix Inc,0.02
POWL,Powell Industries Inc,0.02
SXI,Standex International Corp,0.02
NC,NACCO Industries Inc,0.02
CRAI,CRA International Inc,0.02
CARA,Cara Therapeutics Inc,0.02
LE,Lands' End Inc,0.02
CALM,Cal-Maine Foods Inc,0.02
CASS,Cass Information Systems Inc,0.02
MBVT,Merchants Bancshares Inc/VT,0.02
TACO,Del Taco Restaurants Inc,0.02
PFIS,Peoples Financial Services Corp,0.02
TTPH,Tetraphase Pharmaceuticals Inc,0.02
RSO,Resource Capital Corp,0.02
FNLC,First Bancorp Inc/ME,0.02
CHCT,Community Healthcare Trust Inc,0.02
TNAV,Telenav Inc,0.02
LBY,Libbey Inc,0.02
LPG,Dorian LPG Ltd,0.02
FPI,Farmland Partners Inc,0.02
NUTR,Nutraceutical International Corp,0.02
PERY,Perry Ellis International Inc,0.02
CZNC,Citizens & Northern Corp,0.02
PICO,PICO Holdings Inc,0.02
FFWM,First Foundation Inc,0.02
CMRX,Chimerix Inc,0.02
HOV,Hovnanian Enterprises Inc,0.02
SONS,Sonus Networks Inc,0.02
FBNK,First Connecticut Bancorp Inc/Farmington CT,0.02
FFKT,Farmers Capital Bank Corp,0.02
RUSHB,Rush Enterprises Inc,0.02
CRMT,America's Car-Mart Inc/TX,0.02
BGFV,Big 5 Sporting Goods Corp,0.02
BBG,Bill Barrett Corp,0.02
GCAP,GAIN Capital Holdings Inc,0.02
SNBC,Sun Bancorp Inc/NJ,0.02
ATLO,Ames National Corp,0.02
EXAC,Exactech Inc,0.02
ARTNA,Artesian Resources Corp,0.02
BRG,Bluerock Residential Growth REIT Inc,0.02
ZGNX,Zogenix Inc,0.02
APFH,ADVANCEPIERRE FOODS HOLDINGS INC,0.02
TNK,Teekay Tankers Ltd,0.02
CTRN,Citi Trends Inc,0.02
UMH,UMH Properties Inc,0.02
CRR,CARBO Ceramics Inc,0.02
QADA,QAD Inc,0.02
LNDC,Landec Corp,0.02
FMBH,First Mid-Illinois Bancshares Inc,0.02
DENN,Denny's Corp,0.02
MCBC,Macatawa Bank Corp,0.02
CHFN,Charter Financial Corp/MD,0.02
ACBI,ATLANTIC CAPITAL BANCSHARES INC,0.02
LTC,LTC Properties Inc,0.02
AEO,American Eagle Outfitters Inc,0.02
LPX,Louisiana-Pacific Corp,0.02
NKSH,National Bankshares Inc,0.02
AI,Arlington Asset Investment Corp,0.02
SFE,Safeguard Scientifics Inc,0.02
AHP,Ashford Hospitality Prime Inc,0.02
CACB,Cascade Bancorp,0.02
UIS,Unisys Corp,0.02
TITN,Titan Machinery Inc,0.02
HZO,MarineMax Inc,0.02
UFPI,Universal Forest Products Inc,0.02
CAI,CAI International Inc,0.02
HONE,HARBORONE BANCORP INC,0.02
NPTN,NeoPhotonics Corp,0.02
MLR,Miller Industries Inc/TN,0.02
PEGI,Pattern Energy Group Inc,0.02
REV,Revlon Inc,0.02
FRPH,FRP Holdings Inc,0.02
DSPG,DSP Group Inc,0.02
TBBK,Bancorp Inc,0.02
RYAM,Rayonier Advanced Materials Inc,0.02
EMCI,EMC Insurance Group Inc,0.02
GHL,Greenhill & Co Inc,0.02
ORC,Orchid Island Capital Inc,0.02
NEWS,NewStar Financial Inc,0.02
UVE,Universal Insurance Holdings Inc,0.02
WFBI,WashingtonFirst Bankshares Inc,0.02
SENEA,Seneca Foods Corp,0.02
PLUS,ePlus Inc,0.02
CLNE,Clean Energy Fuels Corp,0.02
BELFB,Bel Fuse Inc,0.02
RRTS,Roadrunner Transportation Systems Inc,0.02
TBNK,Territorial Bancorp Inc,0.02
GLDD,Great Lakes Dredge & Dock Corp,0.02
ERA,Era Group Inc,0.02
OLBK,Old Line Bancshares Inc,0.02
CVTI,Covenant Transportation Group Inc,0.02
CGI,Celadon Group Inc,0.02
GNRT,GENER8 MARITIME INC,0.02
LOCO,El Pollo Loco Holdings Inc,0.02
RNET,RigNet Inc,0.02
FNHC,Federated National Holding Co,0.02
BWINB,Baldwin & Lyons Inc,0.02
TRK,Speedway Motorsports Inc,0.02
ONDK,On Deck Capital Inc,0.02
AKBA,Akebia Therapeutics Inc,0.02
VBTX,Veritex Holdings Inc,0.02
KOPN,Kopin Corp,0.02
GRBK,Green Brick Partners Inc,0.02
SPAR,Spartan Motors Inc,0.02
EQBK,EQUITY BANCSHARES INC CLASS A,0.02
LCUT,Lifetime Brands Inc,0.02
ANCX,Access National Corp,0.02
