VCR,2.68E9
AMZN,Amazon.com Inc,10.82
CMCSA,Comcast Corp,5.9
HD,Home Depot Inc,5.54
DIS,Walt Disney Co,5.51
MCD,McDonald's Corp,3.41
SBUX,Starbucks Corp,2.64
PCLN,Priceline Group Inc,2.54
TWX,Time Warner Inc,2.45
NKE,NIKE Inc,2.32
CHTR,Charter Communications Inc,2.29
LOW,Lowe's Cos Inc,2.1
NFLX,Netflix Inc,1.96
GM,General Motors Co,1.66
TJX,TJX Cos Inc,1.6
F,Ford Motor Co,1.49
TGT,Target Corp,1.14
TSLA,Tesla Motors Inc,1.05
MAR,Marriott International Inc/MD,0.91
ROST,Ross Stores Inc,0.86
CBS,CBS Corp,0.85
ORLY,O'Reilly Automotive Inc,0.81
YUM,Yum! Brands Inc,0.79
LVS,Las Vegas Sands Corp,0.75
LBTYK,LIBERTY GLOBAL-C,0.7
AZO,AutoZone Inc,0.69
DG,Dollar General Corp,0.67
NWL,Newell Rubbermaid Inc,0.66
OMC,Omnicom Group Inc,0.66
CCL,Carnival Corp,0.64
DLPH,Delphi Automotive PLC,0.62
DLTR,Dollar Tree Inc,0.59
VFC,VF Corp,0.55
ULTA,Ulta Salon Cosmetics & Fragrance Inc,0.52
RCL,Royal Caribbean Cruises Ltd,0.52
EXPE,Expedia Inc,0.48
LB,L Brands Inc,0.48
VIAB,Viacom Inc,0.47
GPC,Genuine Parts Co,0.47
FOX,Twenty-First Century Fox Inc,0.44
MHK,Mohawk Industries Inc,0.44
DISH,DISH Network Corp,0.43
WHR,Whirlpool Corp,0.43
MGM,MGM Resorts International,0.42
BBY,Best Buy Co Inc,0.42
KMX,CarMax Inc,0.41
CMG,Chipotle Mexican Grill Inc,0.4
AAP,Advance Auto Parts Inc,0.39
HLT,Hilton Worldwide Holdings Inc,0.37
DHI,DR Horton Inc,0.34
COH,Coach Inc,0.34
ALV,Autoliv Inc,0.33
HOG,Harley-Davidson Inc,0.33
LEA,Lear Corp,0.33
TSCO,Tractor Supply Co,0.32
TIF,Tiffany & Co,0.32
LKQ,LKQ Corp,0.32
IPG,Interpublic Group of Cos Inc,0.3
HAS,Hasbro Inc,0.3
FL,Foot Locker Inc,0.3
LBTYA,LIBERTY GLOBAL-A,0.29
M,Macy's Inc,0.29
MAT,Mattel Inc,0.29
HBI,Hanesbrands Inc,0.29
DRI,Darden Restaurants Inc,0.28
BWA,BorgWarner Inc,0.28
WYN,Wyndham Worldwide Corp,0.28
GT,Goodyear Tire & Rubber Co,0.27
DPZ,Domino's Pizza Inc,0.27
WYNN,Wynn Resorts Ltd,0.26
LEN,Lennar Corp,0.26
QVCA,Liberty Interactive Corp QVC Group,0.26
SIRI,Sirius XM Holdings Inc,0.26
ARMK,Aramark,0.25
HAR,Harman International Industries Inc,0.25
PVH,PVH Corp,0.24
NCLH,Norwegian Cruise Line Holdings Ltd,0.24
LULU,lululemon athletica Inc,0.24
KSS,Kohl's Corp,0.23
KORS,Michael Kors Holdings Ltd,0.23
NVR,NVR Inc,0.22
MTN,Vail Resorts Inc,0.22
PHM,PulteGroup Inc,0.21
LEG,Leggett & Platt Inc,0.2
TRIP,TripAdvisor Inc,0.2
BBBY,Bed Bath & Beyond Inc,0.2
SNI,Scripps Networks Interactive Inc,0.2
BURL,Burlington Stores Inc,0.19
GNTX,Gentex Corp/MI,0.19
SPLS,Staples Inc,0.19
ADNT,ADIENT PLC,0.19
JWN,Nordstrom Inc,0.18
SCI,Service Corp International/US,0.18
SIG,Signet Jewelers Ltd,0.18
GPS,Gap Inc,0.17
GRMN,Garmin Ltd,0.17
BC,Brunswick Corp/DE,0.17
THO,Thor Industries Inc,0.16
PII,Polaris Industries Inc,0.16
SERV,ServiceMaster Global Holdings Inc,0.16
RL,Ralph Lauren Corp,0.16
TOL,Toll Brothers Inc,0.16
DNKN,Dunkin' Brands Group Inc,0.15
HRB,H&R Block Inc,0.15
TGNA,TEGNA Inc,0.15
PNRA,Panera Bread Co,0.15
DISCA,Discovery Communications Inc,0.14
DKS,Dick's Sporting Goods Inc,0.14
SIX,Six Flags Entertainment Corp,0.14
CNK,Cinemark Holdings Inc,0.14
POOL,Pool Corp,0.14
CRI,Carter's Inc,0.13
WSM,Williams-Sonoma Inc,0.13
UAA,UNDER ARMOUR-A,0.12
TEN,Tenneco Inc,0.12
AN,AutoNation Inc,0.12
LYV,Live Nation Entertainment Inc,0.12
CST,CST Brands Inc,0.11
UA,Under Armour Inc,0.11
LVNTA,Liberty Ventures,0.11
JACK,Jack in the Box Inc,0.11
SBH,Sally Beauty Holdings Inc,0.11
AMCX,AMC Networks Inc,0.11
SKX,Skechers U.S.A. Inc,0.1
MSG,Madison Square Garden Co,0.1
BFAM,Bright Horizons Family Solutions Inc,0.1
TXRH,Texas Roadhouse Inc,0.1
CABO,Cable One Inc,0.1
TUP,Tupperware Brands Corp,0.1
VC,Visteon Corp,0.1
CBRL,Cracker Barrel Old Country Store Inc,0.09
LGF.B,LIONS GATE ENT-B,0.09
DAN,Dana Holding Corp,0.09
NXST,Nexstar Broadcasting Group Inc,0.09
WEN,Wendy's Co,0.09
BWLD,Buffalo Wild Wings Inc,0.09
CAKE,Cheesecake Factory Inc,0.08
CAA,CALATLANTIC GROU,0.08
LOPE,Grand Canyon Education Inc,0.08
HELE,Helen of Troy Ltd,0.08
AEO,American Eagle Outfitters Inc,0.08
LCII,LCI INDUSTRIES,0.08
RGC,Regal Entertainment Group,0.08
GME,GameStop Corp,0.08
JW.A,John Wiley & Sons Inc,0.08
TPX,Tempur Sealy International Inc,0.08
CAB,Cabela's Inc,0.08
MUSA,Murphy USA Inc,0.08
MIK,Michaels Cos Inc,0.08
LILAK,LIBERTY LILAC-C,0.08
EAT,Brinker International Inc,0.08
LBRDA,Liberty Broadband Corp,0.07
LAD,Lithia Motors Inc,0.07
MDP,Meredith Corp,0.07
LEXEA,LIBERTY EXPEDI-A,0.07
PZZA,Papa John's International Inc,0.07
KATE,Kate Spade & Co,0.07
URBN,Urban Outfitters Inc,0.07
ODP,Office Depot Inc,0.07
WWW,Wolverine World Wide Inc,0.07
PAG,Penske Automotive Group Inc,0.07
SBGI,Sinclair Broadcast Group Inc,0.07
GHC,Graham Holdings Co,0.07
BIG,Big Lots Inc,0.07
TRCO,Tribune Media Co,0.07
FIVE,Five Below Inc,0.07
DORM,Dorman Products Inc,0.07
LOCK,LifeLock Inc,0.06
JCP,JC Penney Co Inc,0.06
CHH,Choice Hotels International Inc,0.06
AAN,Aaron's Inc,0.06
IMAX,IMAX Corp,0.06
CTB,Cooper Tire & Rubber Co,0.06
DV,DeVry Education Group Inc,0.06
VAC,Marriott Vacations Worldwide Corp,0.06
SHOO,Steven Madden Ltd,0.06
TIME,Time Inc,0.06
MNRO,Monro Muffler Brake Inc,0.06
BLMN,Bloomin' Brands Inc,0.06
CHDN,Churchill Downs Inc,0.06
TPH,TRI Pointe Group Inc,0.06
PLCE,Children's Place Inc,0.06
ILG,ILG INC,0.06
DECK,Deckers Outdoor Corp,0.05
HGV,HILTON GRAND VAC,0.05
STAY,Extended Stay America Inc,0.05
NYT,New York Times Co,0.05
VSTO,Vista Outdoor Inc,0.05
BYD,Boyd Gaming Corp,0.05
GPI,Group 1 Automotive Inc,0.05
PLAY,Dave & Buster's Entertainment Inc,0.05
CHS,Chico's FAS Inc,0.05
SFLY,Shutterfly Inc,0.05
CORE,Core-Mark Holding Co Inc,0.05
COLM,Columbia Sportswear Co,0.04
IRBT,iRobot Corp,0.04
LGF.A,LIONS GATE-A,0.04
GRPN,Groupon Inc,0.04
DSW,DSW Inc,0.04
AXL,American Axle & Manufacturing Holdings Inc,0.04
OLLI,Ollie's Bargain Outlet Holdings Inc,0.04
BLD,TopBuild Corp,0.04
MSGN,MSG NETWORKS- A,0.04
MTH,Meritage Homes Corp,0.04
BID,Sotheby's,0.04
LZB,La-Z-Boy Inc,0.04
CPS,Cooper-Standard Holding Inc,0.04
CAL,CALERES INC,0.04
ABG,Asbury Automotive Group Inc,0.04
PLKI,Popeyes Louisiana Kitchen Inc,0.04
THRM,Gentherm Inc,0.04
BEL,Belmond Ltd,0.04
GCO,Genesco Inc,0.04
H,Hyatt Hotels Corp,0.04
KBH,KB Home,0.04
LQ,La Quinta Holdings Inc,0.04
LTRPA,Liberty TripAdvisor Holdings Inc,0.04
W,Wayfair Inc,0.04
SEAS,SeaWorld Entertainment Inc,0.04
SCHL,Scholastic Corp,0.03
SONC,Sonic Corp,0.03
HMHC,Houghton Mifflin Harcourt Co,0.03
HSNI,HSN Inc,0.03
AOBC,AMERICAN OUTDOOR,0.03
LILA,LIBERTY LILAC-A,0.03
DIN,DineEquity Inc,0.03
MDC,MDC Holdings Inc,0.03
FOSL,Fossil Group Inc,0.03
DDS,Dillard's Inc,0.03
GIII,G-III Apparel Group Ltd,0.03
GCI,Gannett Co Inc,0.03
PLNT,PLANET FITNESS-A,0.03
MYCC,ClubCorp Holdings Inc,0.03
ELY,Callaway Golf Co,0.03
SSP,EW Scripps Co,0.03
APOL,Apollo Education Group Inc,0.03
BOBE,Bob Evans Farms Inc/DE,0.03
PENN,Penn National Gaming Inc,0.03
SMP,Standard Motor Products Inc,0.03
RH,Restoration Hardware Holdings Inc,0.03
RGR,Sturm Ruger & Co Inc,0.03
CPLA,Capella Education Co,0.03
NTRI,Nutrisystem Inc,0.03
GPRO,GoPro Inc,0.03
TLRD,TAILORED BRANDS,0.03
ISCA,International Speedway Corp,0.03
NCMI,National CineMedia Inc,0.03
DENN,Denny's Corp,0.03
SCSS,Select Comfort Corp,0.03
SGMS,Scientific Games Corp,0.02
UEIC,Universal Electronics Inc,0.02
WGO,Winnebago Industries Inc,0.02
AMC,AMC Entertainment Holdings Inc,0.02
CVCO,Cavco Industries Inc,0.02
STRA,Strayer Education Inc,0.02
OXM,Oxford Industries Inc,0.02
PNK,Pinnacle Entertainment Inc,0.02
WING,Wingstop Inc,0.02
GES,Guess? Inc,0.02
ETSY,Etsy Inc,0.02
NEWM,New Media Investment Group Inc,0.02
GTN,Gray Television Inc,0.02
ANF,Abercrombie & Fitch Co,0.02
EXPR,Express Inc,0.02
FOXF,Fox Factory Holding Corp,0.02
ASNA,Ascena Retail Group Inc,0.02
IBP,Installed Building Products Inc,0.02
FINL,Finish Line Inc,0.02
HIBB,Hibbett Sports Inc,0.02
LRN,K12 Inc,0.02
RRR,RED ROCK RESOR-A,0.02
FRGI,Fiesta Restaurant Group Inc,0.02
FRAN,Francesca's Holdings Corp,0.02
ETH,Ethan Allen Interiors Inc,0.02
BJRI,BJ's Restaurants Inc,0.02
WWE,World Wrestling Entertainment Inc,0.02
FWONA,LIBERTY MEDIA-A,0.02
CATO,Cato Corp,0.02
TTS,Tile Shop Holdings Inc,0.02
SAH,Sonic Automotive Inc,0.02
CECO,Career Education Corp,0.02
MOD,Modine Manufacturing Co,0.02
BKE,Buckle Inc,0.02
RRGB,Red Robin Gourmet Burgers Inc,0.02
BKS,Barnes & Noble Inc,0.02
PIR,Pier 1 Imports Inc,0.02
MHO,M/I Homes Inc,0.02
GNC,GNC Holdings Inc,0.02
ISLE,Isle of Capri Casinos Inc,0.02
BATRK,LIBERTY MEDIA-C,0.02
TMHC,Taylor Morrison Home Corp,0.01
TOWR,Tower International Inc,0.01
LORL,Loral Space & Communications Inc,0.01
HZO,MarineMax Inc,0.01
CROX,Crocs Inc,0.01
RUTH,Ruth's Hospitality Group Inc,0.01
LGIH,LGI Homes Inc,0.01
FRED,Fred's Inc,0.01
WCIC,WCI Communities Inc,0.01
RGS,Regis Corp,0.01
SHAK,Shake Shack Inc,0.01
MCS,Marcus Corp,0.01
MPAA,Motorcar Parts of America Inc,0.01
NLS,Nautilus Inc,0.01
BH,Biglari Holdings Inc,0.01
CHUY,Chuy's Holdings Inc,0.01
RCII,Rent-A-Center Inc/TX,0.01
VSI,Vitamin Shoppe Inc,0.01
SUP,Superior Industries International Inc,0.01
CZR,Caesars Entertainment Corp,0.01
NILE,Blue Nile Inc,0.01
TACO,Del Taco Restaurants Inc,0.01
PRTY,Party City Holdco Inc,0.01
BZH,Beazer Homes USA Inc,0.01
CHGG,Chegg Inc,0.01
WLH,William Lyon Homes,0.01
UFI,Unifi Inc,0.01
PBPB,Potbelly Corp,0.01
CSV,Carriage Services Inc,0.01
BNED,Barnes & Noble Education Inc,0.01
ERI,Eldorado Resorts Inc,0.01
WTW,Weight Watchers International Inc,0.01
ETM,Entercom Communications Corp,0.01
MDCA,MDC Partners Inc,0.01
CRMT,America's Car-Mart Inc/TX,0.01
BOJA,Bojangles' Inc,0.01
ENT,Global Eagle Entertainment Inc,0.01
CCS,Century Communities Inc,0.01
EVC,Entravision Communications Corp,0.01
APEI,American Public Education Inc,0.01
SCVL,Shoe Carnival Inc,0.01
MOV,Movado Group Inc,0.01
SRI,Stoneridge Inc,0.01
DLTH,DULUTH HLDGS - B,0.01
ICON,Iconix Brand Group Inc,0.01
ZOES,Zoe's Kitchen Inc,0.01
LL,Lumber Liquidators Holdings Inc,0.01
DFRG,Del Frisco's Restaurant Group Inc,0.01
FTD,FTD Cos Inc,0.01
HVT,Haverty Furniture Cos Inc,0.01
ZUMZ,Zumiez Inc,0.01
MPG,Metaldyne Performance Group Inc,0.01
LBY,Libbey Inc,0.01
RT,Ruby Tuesday Inc,0.0
NWS,News Corp,0.0
ASCMA,Ascent Capital Group Inc,0.0
BOOT,Boot Barn Holdings Inc,0.0
LIND,LINDBLAD EXPEDIT,0.0
SHLD,Sears Holdings Corp,0.0
BPI,Bridgepoint Education Inc,0.0
SMRT,Stein Mart Inc,0.0
HMTV,Hemisphere Media Group Inc,0.0
TCS,Container Store Group Inc,0.0
SSI,Stage Stores Inc,0.0
FOGO,Fogo De Chao Inc,0.0
HHS,Harte-Hanks Inc,0.0
NDLS,Noodles & Co,0.0
CACQ,Caesars Acquisition Co,0.0
CONN,Conn's Inc,0.0
KIRK,Kirkland's Inc,0.0
TRK,Speedway Motorsports Inc,0.0
LOCO,El Pollo Loco Holdings Inc,0.0
HOV,Hovnanian Enterprises Inc,0.0
SNOW,Intrawest Resorts Holdings Inc,0.0
WINA,Winmark Corp,0.0
ACAT,Arctic Cat Inc,0.0
NC,NACCO Industries Inc,0.0
HABT,Habit Restaurants Inc,0.0
SQBG,Sequential Brands Group Inc,0.0
SPWH,Sportsman's Warehouse Holdings Inc,0.0
FLWS,1-800-Flowers.com Inc,0.0
LE,Lands' End Inc,0.0
VRA,Vera Bradley Inc,0.0
TRNC,TRONC INC,0.0
TUES,Tuesday Morning Corp,0.0
OSTK,Overstock.com Inc,0.0
BATRA,LIBERTY MEDIA- A,0.0
