VOT,5.4499999E9
EQIX,Equinix Inc,1.78
EA,Electronic Arts Inc,1.55
FISV,Fiserv Inc,1.51
APH,Amphenol Corp,1.35
EW,Edwards Lifesciences Corp,1.33
CXO,Concho Resources Inc,1.32
ROP,Roper Technologies Inc,1.26
INCY,Incyte Corp,1.26
LRCX,Lam Research Corp,1.21
BCR,CR Bard Inc,1.13
DLTR,Dollar Tree Inc,1.12
ADSK,Autodesk Inc,1.11
LVLT,Level 3 Communications Inc,1.11
DLR,Digital Realty Trust Inc,1.11
SWKS,Skyworks Solutions Inc,1.1
VMC,Vulcan Materials Co,1.1
MCO,Moody's Corp,1.09
CERN,Cerner Corp,1.06
ULTA,Ulta Salon Cosmetics & Fragrance Inc,1.04
O,Realty Income Corp,1.0
LLTC,Linear Technology Corp,0.98
BMRN,BioMarin Pharmaceutical Inc,0.97
EXPE,Expedia Inc,0.97
ESS,Essex Property Trust Inc,0.95
MLM,Martin Marietta Materials Inc,0.94
MCHP,Microchip Technology Inc,0.94
FAST,Fastenal Co,0.93
NOW,ServiceNow Inc,0.92
INFO,IHS MARKIT LTD,0.91
WCN,Waste Connections Inc,0.91
EFX,Equifax Inc,0.91
MGM,MGM Resorts International,0.91
FLT,FleetCor Technologies Inc,0.88
RHT,Red Hat Inc,0.88
MHK,Mohawk Industries Inc,0.88
CTXS,Citrix Systems Inc,0.87
ROST,Ross Stores Inc,0.85
XRAY,DENTSPLY International Inc,0.85
SBAC,SBA Communications Corp,0.84
PANW,Palo Alto Networks Inc,0.83
GWW,WW Grainger Inc,0.83
KMX,CarMax Inc,0.82
ADS,Alliance Data Systems Corp,0.81
VRSK,Verisk Analytics Inc,0.8
CMG,Chipotle Mexican Grill Inc,0.79
AVB,AvalonBay Communities Inc,0.77
GPN,Global Payments Inc,0.77
AME,AMETEK Inc,0.76
CHD,Church & Dwight Co Inc,0.76
Q,Quintiles Transnational Holdings Inc,0.75
ALK,Alaska Air Group Inc,0.75
AAP,Advance Auto Parts Inc,0.74
AKAM,Akamai Technologies Inc,0.73
MTD,Mettler-Toledo International Inc,0.72
IDXX,IDEXX Laboratories Inc,0.71
TDG,TransDigm Group Inc,0.71
MKC,McCormick & Co Inc/MD,0.71
WAT,Waters Corp,0.7
MAS,Masco Corp,0.7
MAA,Mid-America Apartment Communities Inc,0.7
CHRW,CH Robinson Worldwide Inc,0.7
SNA,Snap-on Inc,0.68
EQT,EQT Corp,0.68
CNC,Centene Corp,0.66
ETFC,E*TRADE Financial Corp,0.66
WDAY,Workday Inc,0.65
TWTR,Twitter Inc,0.65
DVA,DaVita HealthCare Partners Inc,0.65
FRT,Federal Realty Investment Trust,0.65
COG,Cabot Oil & Gas Corp,0.64
VNTV,Vantiv Inc,0.64
WWAV,WhiteWave Foods Co,0.63
CTAS,Cintas Corp,0.63
TSCO,Tractor Supply Co,0.62
HRL,Hormel Foods Corp,0.62
RMD,ResMed Inc,0.61
LNG,Cheniere Energy Inc,0.61
EXPD,Expeditors International of Washington Inc,0.61
CDK,CDK Global Inc,0.6
LKQ,LKQ Corp,0.6
KSU,Kansas City Southern,0.6
AYI,Acuity Brands Inc,0.59
COO,Cooper Cos Inc,0.58
HBI,Hanesbrands Inc,0.58
JBHT,JB Hunt Transport Services Inc,0.57
ARE,Alexandria Real Estate Equities Inc,0.57
FFIV,F5 Networks Inc,0.56
CBG,CBRE Group Inc,0.56
EXR,Extra Space Storage Inc,0.55
WYN,Wyndham Worldwide Corp,0.55
FBHS,Fortune Brands Home & Security Inc,0.55
TSS,Total System Services Inc,0.54
AMG,Affiliated Managers Group Inc,0.54
VER,VEREIT Inc,0.54
ALKS,ALKERMES PLC,0.53
QRVO,Qorvo Inc,0.53
ANSS,ANSYS Inc,0.52
RRC,Range Resources Corp,0.51
IT,Gartner Inc,0.5
MSCI,MSCI Inc,0.5
SPLK,Splunk Inc,0.5
HAR,Harman International Industries Inc,0.5
NCLH,Norwegian Cruise Line Holdings Ltd,0.48
TRMB,Trimble Navigation Ltd,0.48
XLNX,Xilinx Inc,0.47
BRX,Brixmor Property Group Inc,0.47
WAB,Wabtec Corp/DE,0.47
VAR,Varian Medical Systems Inc,0.47
FRC,First Republic Bank/CA,0.47
ST,Sensata Technologies Holding NV,0.46
VRSN,VeriSign Inc,0.46
SEIC,SEI Investments Co,0.45
JAZZ,JAZZ PHARMACEUTI,0.45
FDS,FactSet Research Systems Inc,0.44
NVR,NVR Inc,0.43
KORS,Michael Kors Holdings Ltd,0.43
KLAC,KLA-Tencor Corp,0.43
SRCL,Stericycle Inc,0.42
LULU,lululemon athletica Inc,0.41
XEC,Cimarex Energy Co,0.41
MU,Micron Technology Inc,0.4
AXTA,Axalta Coating Systems Ltd,0.4
BEAV,B/E Aerospace Inc,0.4
SNI,Scripps Networks Interactive Inc,0.4
TRIP,TripAdvisor Inc,0.38
SIG,Signet Jewelers Ltd,0.38
MIC,Macquarie Infrastructure Corp,0.37
RHI,Robert Half International Inc,0.37
WBC,WABCO Holdings Inc,0.37
FDC,FIRST DATA COR-A,0.35
AR,Antero Resources Corp,0.34
URI,United Rentals Inc,0.34
CLB,Core Laboratories NV,0.33
PII,Polaris Industries Inc,0.33
TIF,Tiffany & Co,0.31
AJG,Arthur J Gallagher & Co,0.31
ZAYO,Zayo Group Holdings Inc,0.3
EVHC,Envision Healthcare Holdings Inc,0.26
UAA,UNDER ARMOUR-A,0.25
UA,Under Armour Inc,0.23
SGEN,Seattle Genetics Inc,0.18
LW,LAMB WESTON,0.17
DISCA,Discovery Communications Inc,0.14
WSM,Williams-Sonoma Inc,0.12
AN,AutoNation Inc,0.12
PINC,Premier Inc,0.1
H,Hyatt Hotels Corp,0.09
ALNY,Alnylam Pharmaceuticals Inc,0.09
LBRDA,Liberty Broadband Corp,0.06
NVDA,NVIDIA Corp,0.0
VREX,VAREX IMAGIN,0.0
MAR,Marriott International Inc/MD,0.0
PNR,Pentair PLC,0.0
QVCA,Liberty Interactive Corp QVC Group,0.0
RLGY,Realogy Holdings Corp,0.0
